count,group,mean,percentile_0,percentile_100,percentile_25,percentile_50,percentile_75,standard_deviation
4985,6A Cold - Humid (Burlington-VT),224.30999165251376,1.5956284153005464,2412.4499999999994,108.83939931844603,159.0465064091692,276.42766450417054,205.0589675921653
4769,4C Mixed - Marine (Salem-OR),211.74225202373813,3.153923976851659,2805.8999999999996,84.98961589154582,127.78187919463086,212.84297520661153,243.9033122979786
12,8 Subarctic (Fairbanks-AK),269.4176195839793,89.28696902749064,748.8573596358117,151.01602487661432,223.07841434420828,339.6518637697245,180.0268746486485
594,4B Mixed - Dry (Albuquerque-NM),258.3394043333984,3.201754385964912,1897.2691662003353,110.2594108900519,170.38174815114212,292.1893534313133,250.9553124853379
12320,3B Warm - Dry (El Paso-TX),248.29752650087553,1.8709802898741437,3118.2860029543126,78.69211450449222,124.57681108098998,223.47845935344145,332.2407900218855
658,7 Very Cold (Duluth-MN),221.68686696567678,4.762470308788598,1465.383427,92.14745274999997,152.7249226747666,281.765,206.71011752844007
24547,4A Mixed - Humid (Baltimore-MD),247.67811180859258,1.2833204291560667,3010.110778163338,115.775076866874,177.09568464184804,279.71787658035805,246.83442202110308
1345,Unknown,467.5013751332271,1.6599177631578943,2865.9085606060603,145.53964247199477,330.3873574114885,785.997422492401,362.3683890952256
4551,5B Cool - Dry (Boise-ID),249.4176620549811,2.570411372054804,2812.711538461538,101.90369745868291,152.09465154313818,271.8393300893949,268.46652836708677
599,6B Cold - Dry (Helena-MT),235.88717339044038,6.692307692307691,1484.7999999999997,107.4410179455106,158.4237288135593,269.8714679274126,225.56085382320953
19581,5A Cool - Humid (Chicago-IL),265.9431176073813,2.0847566420124073,2952.281277626024,123.39999999999999,190.1148642367133,305.01515151515144,243.3872645617941
9118,3A Warm - Humid (Memphis-TN),278.2376046686033,2.9384615384615382,2457.9999999999995,115.18013715768313,184.68839694543072,309.8974999999999,287.67918669446544
6674,2A Hot - Humid (Houston-TX),265.20174795255053,1.7380354209718212,2410.333333333333,136.02183389717322,204.1259475610326,330.4108026520235,215.48230925422524
1538,2B Hot - Dry (Phoenix-AZ),241.05398610839103,5.741209563994373,2957.505813953488,118.80624653776911,172.7328641312909,314.7124305258315,220.62528092318684
5839,3C Warm - Marine (San Francisco-CA),228.14929958093384,1.3000024733684805,2642.2657174566475,82.44793288278072,135.80025837187668,219.86868745076526,277.0353813466291
1181,1A Very Hot - Humid (Miami-FL),248.66223993317865,2.767205610357583,2106.6749999999997,131.32404319609628,189.53471147096738,321.2643305213064,203.6302272471907
