city,mean electirc eui,mean electric eui res,mean fuel eui,mean fuel eui res
Omaha,70.77898263827461,19.42207087408427,25.24812839759035,16.967614051725008
Lincoln,93.00788392316382,24.29073234225918,31.220912623254645,21.08453355871755
Grand Island,62.010169746560436,,26.917083470811686,
Kearney,,,,
Las Vegas,118.72313769471246,24.710727492195943,19.46082273594499,22.13074462414437
Reno,110.91317498490544,,26.47144299645586,
Carson City,95.40964948518734,,23.530871122745513,
Elko,,,,
Manchester,61.19120432266677,29.811319902847192,38.91046265777339,24.463346853920644
Concord,74.55492635665759,,19.231067013266657,
Newark,76.64603153783845,,36.69114797775439,
Trenton,73.00832831488805,,33.97733605882667,
Albuquerque,74.62796112230895,16.665290261779464,28.64097008033129,48.360010331194964
Las Cruces,59.35498099681242,,11.057823821048173,
Santa Fe,47.435053887625436,,43.129239928975935,
Roswell,57.61174375267839,,10.522146585811074,
Farmington,65.67772195309836,19.52138615513987,34.953173549683186,128.57301284347653
New York,139.13876202884808,26.628080347782088,25.703316270183326,50.98703634227044
Buffalo,64.11546809222912,12.427778398603936,37.27736866170875,39.39663336494479
Albany,51.30193061858044,,23.230992552031587,
Rochester,55.28503445195568,,46.60486262733186,
Syracuse,57.58949095909259,13.628285931611037,48.21278269529317,47.1086327074091
Charlotte,59.45428506988896,14.169672490361716,13.533186262987256,
Raleigh,80.87048744444722,,11.757061490812044,
Greensboro,109.45958530115495,34.5146058173609,32.25240696752961,40.59022251595276
Durham,100.20952952141549,,28.50395457635473,
Fargo,69.81735317192184,,50.002851217207095,
Bismarck,99.17960933673432,,35.227879723700894,
Grand Forks,76.23093898727993,,47.77046162118541,
Minot,96.65066237457731,,44.035064328899935,
Dickinson,56.39157250322483,,4.2556314370180175,
Cleveland,71.4630752556214,28.62377132718733,61.5616238805623,77.42776739105096
Columbus,92.4010519338068,,37.72857107282403,
Cincinnati,80.2821279557943,20.938976494913444,30.320349080380684,37.833612659511175
Dayton,58.74761072742464,24.377187828622564,29.833271264152806,103.25016850392292
Akron,88.50104924344075,,45.401903335927884,
Tulsa,97.67605024541542,33.618979011700375,20.756539386840448,25.751481395117597
Oklahoma City,105.73853130458164,25.67272012345442,22.05246200244306,41.61328793031173
Lawton,99.20682452586037,,13.45144239962641,
Portland,62.54861416464777,,28.76826075598467,
Eugene,114.18612609689788,,16.66082801824346,
Salem,69.02721458621862,35.68080915540357,26.67791480041111,11.068243186757863
Medford,50.39158340426003,21.318375097772762,34.80260514986971,
Bend,55.01344125116552,26.113679106938747,33.19081906458812,
Philadelphia,65.73733274177906,20.569281816632973,43.374881216040066,43.522624931037015
Pittsburgh,73.38420393455957,21.448816423801727,44.09354388026983,49.01345054523434
Allentown,90.14041433408927,31.283235036839482,17.757473525178806,24.918605959023026
Harrisburg,92.11591315061403,30.758217592710608,50.85995373366249,32.70852818705308
Lancaster,98.32453836927151,29.512314378242824,42.36142528528627,25.909896537157735
Providence,48.76585709636732,5.993155457856,32.08636041507588,7.838447754559354
Newport,80.38871131245804,24.788492831845243,30.531347355987343,7.379537372043621
Columbia,84.84317093310442,,30.906375510824134,
Charleston,119.9924560144628,38.3372056551059,21.209472142950567,11.540540577892685
Greenville,99.07052811127672,26.404643362238954,35.2148699510795,13.402645456970179
Spartanburg,174.5006129166793,,81.74243975188786,
Rock Hill,78.09702454272352,,26.682036164872606,
Sioux Falls,38.72779439039669,,26.237309631331758,
Rapid City,83.56480203997705,,31.29330843171887,
Aberdeen,70.27144234476944,,19.34471062064941,
Memphis,95.38076621673187,34.359487504485266,22.10694151935823,15.520936182334081
Nashville,121.8261634437935,37.9504555287124,38.63836849715178,6.170401399793223
Knoxville,91.18226671571072,27.828000492659232,52.693757856803316,8.518319214624919
Chattanooga,92.40368920614604,28.7732998784781,17.41534028216583,8.763062796171447
Houston,80.58046589970736,28.982607881632457,12.989200924951103,27.245043327587148
Dallas,85.16808479591197,36.71438290616883,7.799116580156891,19.41592441479579
San Antonio,105.17800017883344,27.310792149237827,7.9709488000141455,12.584207521260296
Austin,85.44434021611653,,8.992272970190056,
Salt Lake City,82.40070316897538,17.200832808677216,52.629190855143676,48.475667522325665
Provo,,,,
Ogden,97.16772636694448,15.695421218196977,62.42020424351891,35.896579384452835
Logan,73.88903332426017,,64.11370387233946,
Burlington,77.8040013120638,,19.151180988435577,
Virginia Beach,62.97189708547312,27.777556944060468,11.41192571840696,29.376967515090964
Norfolk,86.46286452578536,,13.355791298730425,
Richmond,100.20431209331451,19.247213577336538,18.722155273549806,16.625876450537877
Hampton,86.7898566704291,28.686373713875547,19.02000499429416,10.249316083688166
Roanoke,55.88477201224956,,30.615587024249898,
Seattle,95.48640824036725,25.535467211234522,26.399558385034755,25.045394069711357
Tacoma,141.28018169164693,,21.408599218444362,
Vancouver,72.81282197095834,,21.298654314766765,
Everett,105.17632888943619,,37.774921514614306,
Spokane,94.66536314963801,,40.50853506554442,
Charleston,119.9924560144628,,21.209472142950567,
Huntington,75.17244206978314,8.694154548039812,41.882126003796024,
Morgantown,68.45699089955532,,17.273912813075395,
Wheeling,61.077688631322765,,32.459815198994896,
Milwaukee,63.27656192624887,14.606103797959511,50.805827484320346,48.327908055717856
Madison,86.9726225795175,13.684957163009225,43.36853110752443,42.304401766876424
Green Bay,59.517959827775556,10.534923923784465,30.73091424572062,23.629514656800822
Cheyenne,70.35345777665341,,41.14711030562705,
Casper,81.75122561315307,,32.85418057436471,
Gillette,68.48671187470812,,35.230859536336105,
Laramie,,29.856481301232,,
