city,state,mean site eui,mean site eui res,mean source eui,mean source eui res,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
Syracuse,NY,102.0092295,60.736918639020125,221.7473784,92.25688216803822,385,7129,46.58,20.12,56.66,36.32,4301,724
Greensboro,NC,131.4546168,58.71813134892237,350.8786266,154.23295335059817,1643,3258,60.62,22.64,71.78,49.28,4610,18
Cleveland,OH,123.26857279999999,97.06601740963156,279.24478639999995,164.65070724126102,949,5438,52.7,13.279999999999998,59.36,46.04,3635,681
Columbus,OH,126.28020749999999,33.53522945740505,320.6471523,66.25103997247388,980,5473,52.7,22.82,64.04,41.36,4018,210
Cincinnati,OH,106.7594937,57.878298430016365,270.3566694,104.68957575733265,1044,5214,53.6,19.22,63.14,43.88,4617,163
Dayton,OH,88.15615095,123.46390962753507,212.33087999999998,171.88382405726125,1264,5247,54.14,19.04,63.68,44.6,4033,123
Tulsa,OK,110.8417145,59.38956769418066,305.29979289999994,132.6123569012233,1823,3774,59.540000000000006,24.08,71.6,47.66,4135,22
Oklahoma City,OK,120.3758395,64.97753274090124,328.5235923,120.69346833555471,1848,3592,60.26,23.72,71.96,48.38,3211,15
Portland,OR,89.06410284,30.30680090457399,218.3564519,71.98930313094488,330,4447,53.78,21.2,64.22,43.16,4058,9
Salem,OR,89.42501177,39.21440458134653,222.7595444,110.25937866937073,276,4685,52.88,21.2,63.5,42.26000000000001,4697,35
Philadelphia,PA,110.7641953,64.14946957956671,247.2263004,108.79749386722945,1071,4935,54.32,16.34,62.6,46.22,4932,108
Pittsburgh,PA,116.9325957,70.5030749225797,262.0271466,118.84889800892219,857,5564,52.16,18.86,61.52,42.62000000000001,4161,199
Allentown,PA,107.4346429,56.1997876700301,299.1911543,123.74759961176285,1265,4682,55.58,20.66,65.84,45.32,4652,261
Harrisburg,PA,150.82444040000001,63.430674705754825,344.7762892,130.10970531045393,805,5421,52.34,22.1,63.32,41.36,4352,176
Lancaster,PA,130.690697,55.38223467472403,324.9540453,119.53575050896818,934,5321,53.06,19.58,62.78,43.16,3897,183
