name,id,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
"Spartanburg, SC US",CITY:US450011,1401,3712,58.64,27.5,72.32,44.96,4980,4
"Aberdeen, SD US",CITY:US460001,525,8534,42.980000000000004,23.18,54.68,31.46,2319,381
"Brookings, SD US",CITY:US460002,491,8430,43.16,21.38,53.96,32.54,2431,319
"Mitchell, SD US",CITY:US460004,931,6967,48.56,22.1,59.540000000000006,37.4,2485,346
"Rapid City, SD US",CITY:US460006,295,7551,45.14,27.32,58.82,31.46,1915,516
"Sioux Falls, SD US",CITY:US460007,579,7884,44.96,21.02,55.58,34.52,2636,360
"Chattanooga, TN US",CITY:US470002,1433,3560,59.18,24.98,71.78,46.58,4499,0
"Knoxville, TN US",CITY:US470010,1339,3955,57.74,23.0,69.25999999999999,46.22,5193,65
"Memphis, TN US",CITY:US470013,2021,3317,61.34,19.4,71.06,51.8,5340,28
"Nashville, TN US",CITY:US470016,1332,4107,57.379999999999995,24.62,69.62,45.14,5267,18
"Austin, TX US",CITY:US480005,2710,1918,67.28,24.26,79.16,55.04,3489,6
"Dallas, TX US",CITY:US480016,2463,2429,65.12,23.9,77.0,53.06,4015,7
"Houston, TX US",CITY:US480031,2586,1469,68.0,18.32,77.18,58.82,5350,0
"San Antonio, TX US",CITY:US480057,2364,2049,65.84,24.8,78.25999999999999,53.42,3810,-7777
"Logan, UT US",CITY:US490003,704,6680,48.56,21.74,59.540000000000006,37.76,1776,415
"Ogden, UT US",CITY:US490004,1174,5670,52.7,17.240000000000002,61.34,44.06,1338,485
"Provo, UT US",CITY:US490005,662,5962,50.54,24.62,62.78,38.12,2053,698
"Salt Lake City, UT US",CITY:US490006,21,9639,38.660000000000004,18.32,47.84,29.48,5423,5461
"St. George, UT US",CITY:US490007,2604,2986,63.86,25.880000000000003,76.82,51.08,1319,41
"Burlington, VT US",CITY:US500001,484,7432,45.86,18.68,55.22,36.68,3104,852
"Montpelier, VT US",CITY:US500002,453,7983,44.42,24.62,56.66,32.0,4242,805
"Hampton, VA US",CITY:US510009,1836,2958,61.88,17.06,70.34,53.42,5079,49
"Norfolk, VA US",CITY:US510014,1836,2958,61.88,17.06,70.34,53.42,5079,49
"Richmond, VA US",CITY:US510015,1292,4096,57.379999999999995,20.66,67.64,46.94,4341,165
"Roanoke, VA US",CITY:US510016,1061,4354,55.94,23.54,67.64,44.239999999999995,4711,213
"Virginia Beach, VA US",CITY:US510017,1647,3215,60.62,16.520000000000003,69.08,52.34,5079,58
"Everett, WA US",CITY:US530008,111,4937,51.8,17.779999999999998,60.62,42.980000000000004,3844,25
"Seattle, WA US",CITY:US530018,165,4919,51.98,16.88,60.440000000000005,43.519999999999996,5637,35
"Spokane, WA US",CITY:US530019,249,7139,46.04,21.74,57.02,35.24,1708,541
"Tacoma, WA US",CITY:US530021,223,4531,53.24,17.240000000000002,61.88,44.6,3914,48
"Vancouver, WA US",CITY:US530022,330,4447,53.78,21.2,64.22,43.16,4058,28
"Charleston, WV US",CITY:US540003,924,4955,53.96,23.36,65.66,42.260000000000005,4622,264
"Huntington, WV US",CITY:US540005,948,5223,53.24,21.38,63.86,42.620000000000005,4413,68
"Morgantown, WV US",CITY:US540007,744,5709,51.44,22.46,62.6,40.28,3958,378
"Parkersburg, WV US",CITY:US540008,894,5229,53.06,21.74,64.04,42.260000000000005,4106,119
"Wheeling, WV US",CITY:US540009,909,5303,53.06,21.74,63.86,42.08,4256,171
"Green Bay, WI US",CITY:US550002,358,7885,44.42,18.5,53.6,35.06,3127,514
"Madison, WI US",CITY:US550006,597,7283,46.76,21.38,57.379999999999995,35.96,3727,379
"Milwaukee, WI US",CITY:US550009,568,7304,46.58,18.5,55.76,37.22,3450,359
"Casper, WY US",CITY:US560001,314,7866,44.239999999999995,25.880000000000003,57.2,31.46,1301,734
"Cheyenne, WY US",CITY:US560002,364,7170,46.22,30.92,61.88,30.92,1727,512
"Gillette, WY US",CITY:US560004,522,7375,46.22,26.060000000000002,59.18,33.26,1694,588
"Laramie, WY US",CITY:US560005,70,8767,41.18,29.12,55.76,26.6,1143,497
